id,champion,sum_total,win_total,lose_total,winrate_total,pick_rate,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side,sum_bans,ban_rate,sum_pick_ban,pick_ban_rate
0,Miss Fortune,79,38,41,48.10%,65.29%,33,16,17,48.48%,46,22,24,47.83%,18,14.88%,97,80.17%
1,Lee Sin,58,33,25,56.90%,47.93%,34,19,15,55.88%,24,14,10,58.33%,60,49.59%,118,97.52%
2,Leona,56,30,26,53.57%,46.28%,21,12,9,57.14%,35,18,17,51.43%,31,25.62%,87,71.90%
3,Xin Zhao,45,15,30,33.33%,37.19%,22,6,16,27.27%,23,9,14,39.13%,39,32.23%,84,69.42%
4,Rakan,43,24,19,55.81%,35.54%,26,11,15,42.31%,17,13,4,76.47%,24,19.83%,67,55.37%
5,Graves,41,23,18,56.10%,33.88%,21,13,8,61.90%,20,10,10,50.00%,29,23.97%,70,57.85%
6,Aphelios,38,24,14,63.16%,31.40%,16,8,8,50.00%,22,16,6,72.73%,44,36.36%,82,67.77%
7,Jarvan IV,37,17,20,45.95%,30.58%,18,9,9,50.00%,19,8,11,42.11%,39,32.23%,76,62.81%
8,Lucian,34,18,16,52.94%,28.10%,26,14,12,53.85%,8,4,4,50.00%,66,54.55%,100,82.64%
9,Jayce,34,13,21,38.24%,28.10%,15,5,10,33.33%,19,8,11,42.11%,30,24.79%,64,52.89%
10,Ryze,33,15,18,45.45%,27.27%,11,5,6,45.45%,22,10,12,45.45%,49,40.50%,82,67.77%
11,Kennen,30,20,10,66.67%,24.79%,13,9,4,69.23%,17,11,6,64.71%,45,37.19%,75,61.98%
12,Jhin,29,18,11,62.07%,23.97%,17,10,7,58.82%,12,8,4,66.67%,2,1.65%,31,25.62%
13,LeBlanc,29,15,14,51.72%,23.97%,21,11,10,52.38%,8,4,4,50.00%,71,58.68%,100,82.64%
14,Sylas,29,14,15,48.28%,23.97%,13,6,7,46.15%,16,8,8,50.00%,17,14.05%,46,38.02%
15,Twisted Fate,28,15,13,53.57%,23.14%,17,8,9,47.06%,11,7,4,63.64%,64,52.89%,92,76.03%
16,Ezreal,25,12,13,48.00%,20.66%,16,9,7,56.25%,9,3,6,33.33%,16,13.22%,41,33.88%
17,Syndra,19,14,5,73.68%,15.70%,10,7,3,70.00%,9,7,2,77.78%,12,9.92%,31,25.62%
18,Zoe,19,12,7,63.16%,15.70%,8,5,3,62.50%,11,7,4,63.64%,19,15.70%,38,31.40%
19,Viego,19,10,9,52.63%,15.70%,9,5,4,55.56%,10,5,5,50.00%,7,5.79%,26,21.49%
20,Gwen,19,7,12,36.84%,15.70%,10,4,6,40.00%,9,3,6,33.33%,19,15.70%,38,31.40%
21,Irelia,19,7,12,36.84%,15.70%,8,2,6,25.00%,11,5,6,45.45%,71,58.68%,90,74.38%
22,Talon,18,10,8,55.56%,14.88%,8,4,4,50.00%,10,6,4,60.00%,15,12.40%,33,27.27%
23,Nami,18,9,9,50.00%,14.88%,13,6,7,46.15%,5,3,2,60.00%,24,19.83%,42,34.71%
24,Braum,18,7,11,38.89%,14.88%,7,4,3,57.14%,11,3,8,27.27%,13,10.74%,31,25.62%
25,Lulu,17,9,8,52.94%,14.05%,4,2,2,50.00%,13,7,6,53.85%,3,2.48%,20,16.53%
26,Orianna,17,6,11,35.29%,14.05%,9,4,5,44.44%,8,2,6,25.00%,5,4.13%,22,18.18%
27,Thresh,16,9,7,56.25%,13.22%,8,5,3,62.50%,8,4,4,50.00%,20,16.53%,36,29.75%
28,Renekton,16,8,8,50.00%,13.22%,9,3,6,33.33%,7,5,2,71.43%,5,4.13%,21,17.36%
29,Qiyana,15,11,4,73.33%,12.40%,9,8,1,88.89%,6,3,3,50.00%,22,18.18%,37,30.58%
30,Yuumi,15,8,7,53.33%,12.40%,13,8,5,61.54%,2,0,2,0.00%,69,57.02%,84,69.42%
31,Azir,14,7,7,50.00%,11.57%,7,4,3,57.14%,7,3,4,42.86%,14,11.57%,28,23.14%
32,Gnar,14,5,9,35.71%,11.57%,9,2,7,22.22%,5,3,2,60.00%,6,4.96%,20,16.53%
33,Camille,13,8,5,61.54%,10.74%,6,3,3,50.00%,7,5,2,71.43%,26,21.49%,39,32.23%
34,Kai'Sa,12,5,7,41.67%,9.92%,5,3,2,60.00%,7,2,5,28.57%,4,3.31%,16,13.22%
35,Amumu,12,4,8,33.33%,9.92%,6,2,4,33.33%,6,2,4,33.33%,17,14.05%,29,23.97%
36,Poppy,11,6,5,54.55%,9.09%,2,0,2,0.00%,9,6,3,66.67%,10,8.26%,21,17.36%
37,Nautilus,11,5,6,45.45%,9.09%,2,1,1,50.00%,9,4,5,44.44%,6,4.96%,17,14.05%
38,Olaf,11,4,7,36.36%,9.09%,6,2,4,33.33%,5,2,3,40.00%,13,10.74%,24,19.83%
39,Lillia,10,5,5,50.00%,8.26%,5,2,3,40.00%,5,3,2,60.00%,7,5.79%,17,14.05%
40,Rell,10,5,5,50.00%,8.26%,5,2,3,40.00%,5,3,2,60.00%,3,2.48%,13,10.74%
41,Gragas,9,5,4,55.56%,7.44%,6,2,4,33.33%,3,3,0,100.00%,1,0.83%,10,8.26%
42,Jax,9,4,5,44.44%,7.44%,3,1,2,33.33%,6,3,3,50.00%,3,2.48%,12,9.92%
43,Ziggs,9,3,6,33.33%,7.44%,5,1,4,20.00%,4,2,2,50.00%,9,7.44%,18,14.88%
44,Wukong,8,5,3,62.50%,6.61%,5,3,2,60.00%,3,2,1,66.67%,4,3.31%,12,9.92%
45,Trundle,8,3,5,37.50%,6.61%,6,2,4,33.33%,2,1,1,50.00%,5,4.13%,13,10.74%
46,Tryndamere,8,3,5,37.50%,6.61%,5,3,2,60.00%,3,0,3,0.00%,15,12.40%,23,19.01%
47,Alistar,7,2,5,28.57%,5.79%,4,2,2,50.00%,3,0,3,0.00%,1,0.83%,8,6.61%
48,Lissandra,6,5,1,83.33%,4.96%,3,2,1,66.67%,3,3,0,100.00%,3,2.48%,9,7.44%
49,Aatrox,6,4,2,66.67%,4.96%,2,2,0,100.00%,4,2,2,50.00%,2,1.65%,8,6.61%
50,Gangplank,6,3,3,50.00%,4.96%,3,2,1,66.67%,3,1,2,33.33%,8,6.61%,14,11.57%
51,Sett,6,3,3,50.00%,4.96%,2,2,0,100.00%,4,1,3,25.00%,7,5.79%,13,10.74%
52,Fiora,5,4,1,80.00%,4.13%,1,1,0,100.00%,4,3,1,75.00%,0,0.00%,5,4.13%
53,Draven,5,2,3,40.00%,4.13%,1,1,0,100.00%,4,1,3,25.00%,27,22.31%,32,26.45%
54,Yone,5,0,5,0.00%,4.13%,3,0,3,0.00%,2,0,2,0.00%,8,6.61%,13,10.74%
55,Nidalee,4,3,1,75.00%,3.31%,1,1,0,100.00%,3,2,1,66.67%,3,2.48%,7,5.79%
56,Taliyah,4,3,1,75.00%,3.31%,1,1,0,100.00%,3,2,1,66.67%,4,3.31%,8,6.61%
57,Tristana,4,2,2,50.00%,3.31%,1,0,1,0.00%,3,2,1,66.67%,1,0.83%,5,4.13%
58,Yasuo,4,2,2,50.00%,3.31%,3,2,1,66.67%,1,0,1,0.00%,3,2.48%,7,5.79%
59,Galio,4,1,3,25.00%,3.31%,1,0,1,0.00%,3,1,2,33.33%,11,9.09%,15,12.40%
60,Rumble,4,1,3,25.00%,3.31%,3,1,2,33.33%,1,0,1,0.00%,2,1.65%,6,4.96%
61,Shen,4,1,3,25.00%,3.31%,2,0,2,0.00%,2,1,1,50.00%,0,0.00%,4,3.31%
62,Malzahar,3,2,1,66.67%,2.48%,2,1,1,50.00%,1,1,0,100.00%,2,1.65%,5,4.13%
63,Zilean,3,2,1,66.67%,2.48%,1,0,1,0.00%,2,2,0,100.00%,0,0.00%,3,2.48%
64,Akali,3,1,2,33.33%,2.48%,3,1,2,33.33%,0,0,0,-,0,0.00%,3,2.48%
65,Kled,3,1,2,33.33%,2.48%,0,0,0,-,3,1,2,33.33%,0,0.00%,3,2.48%
66,Malphite,3,1,2,33.33%,2.48%,1,0,1,0.00%,2,1,1,50.00%,5,4.13%,8,6.61%
67,Pyke,3,1,2,33.33%,2.48%,1,0,1,0.00%,2,1,1,50.00%,0,0.00%,3,2.48%
68,Xayah,3,1,2,33.33%,2.48%,2,0,2,0.00%,1,1,0,100.00%,1,0.83%,4,3.31%
69,Viktor,3,0,3,0.00%,2.48%,2,0,2,0.00%,1,0,1,0.00%,0,0.00%,3,2.48%
70,Urgot,2,2,0,100.00%,1.65%,1,1,0,100.00%,1,1,0,100.00%,6,4.96%,8,6.61%
71,Annie,2,1,1,50.00%,1.65%,0,0,0,-,2,1,1,50.00%,1,0.83%,3,2.48%
72,Fiddlesticks,2,1,1,50.00%,1.65%,2,1,1,50.00%,0,0,0,-,2,1.65%,4,3.31%
73,Maokai,2,1,1,50.00%,1.65%,2,1,1,50.00%,0,0,0,-,0,0.00%,2,1.65%
74,Senna,2,1,1,50.00%,1.65%,1,0,1,0.00%,1,1,0,100.00%,0,0.00%,2,1.65%
