"player","team","position","gold_per_minute","winrate","counter_pickrate","kills","deaths","assists","kda","kp","kill_share","share_team_deaths","first_blood_rate","gold_diff_10","xp_diff_10","cs_diff_10","cspm","share_team_deaths_15","damage_per_minute","share_damage","share_team_damage_15","average_gold_per_minute","gold_share","neutral_objectives_stolen","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"1116","Beyond Gaming","Middle",10,"50%","70%",29,38,68,2.6,"54.5%","16.3%","23.8%","10%",-5,-9,-0.5,8,"23.2%",372,"18.5%","17.4%",253,"21.8%",0,0.44,0.18,0.17
"Ackerman","INFINITY","Support",4,"0%","25%",0,10,22,2.2,"64.7%","0.0%","14.5%","25%",-143,248,-3.5,1.1,"3.2%",147,"8.2%","6.9%",76,"8.3%",0,1.82,0.47,0.45
"Aegis","RED Canids","Jungle",9,"33%","11%",19,33,44,1.9,"61.2%","18.4%","20.9%","0%",-203,10,1.8,6.4,"20.9%",314,"17.5%","18.1%",213,"20.3%",0,0.46,0.35,0.19
"AHaHaCiK","Unicorns of Love.CIS","Jungle",5,"20%","40%",8,17,26,2,"61.8%","14.5%","18.7%","20%",-329,-27,-1.8,5.4,"19.3%",229,"13.4%","13.2%",180,"18.6%",0,0.43,0.21,0.32
"Aladoric","PEACE","Support",12,"42%","67%",9,33,108,3.5,"69.2%","5.3%","17.0%","33%",68,81,3.4,1.3,"3.6%",154,"8.3%","6.6%",109,"9.5%",0,1.6,0.62,0.34
"Ale","LNG Esports","Top",4,"100%","75%",26,3,16,14,"60.9%","37.7%","16.7%","50%",639,329,9.8,9.4,"26.3%",661,"27.3%","27.2%",380,"29.0%",0,0.33,0.09,0.18
"Alive","Galatasaray Esports","ADC",9,"44%","44%",36,33,34,2.1,"56.5%","29.0%","19.6%","33%",-467,-5,-1.2,9.3,"32.5%",478,"24.1%","25.1%",288,"25.4%",0,0.41,0.19,0.38
"Aria","DetonatioN FocusMe","Middle",5,"80%","40%",13,4,23,9,"43.9%","15.9%","10.5%","0%",146,330,9.2,8.6,"24.8%",409,"24.8%","24.0%",276,"22.7%",0,0.38,0.18,0.22
"Avenger","RED Canids","Middle",2,"50%","50%",4,4,10,3.5,"66.7%","19.0%","18.2%","50%",155,-17,-0.5,8,"25.8%",398,"25.8%","24.7%",230,"21.6%",0,0.45,0.18,0.08
"Babip","PEACE","Jungle",12,"42%","92%",42,45,77,2.6,"70.4%","24.9%","23.2%","25%",42,-155,-6.6,5.6,"15.4%",393,"21.2%","22.1%",222,"19.9%",0,0.26,0.2,0.29
"Blaber","Cloud9","Jungle",8,"75%","63%",38,19,65,5.4,"67.8%","25.0%","21.3%","25%",317,224,9.8,6.7,"18.7%",466,"21.3%","21.0%",259,"19.8%",0,0.4,0.26,0.33
"Bolulu","Galatasaray Esports","Middle",9,"44%","33%",24,22,59,3.8,"66.9%","19.4%","13.1%","22%",-33,-62,-2.1,7.8,"23.4%",456,"22.6%","22.7%",255,"23.5%",1,0.47,0.14,0.07
"BOSS","Unicorns of Love.CIS","Top",5,"20%","40%",23,21,19,2,"76.4%","41.8%","23.1%","20%",-233,153,-7,6.7,"21.2%",408,"23.4%","22.0%",250,"25.5%",1,0.35,0.11,0.18
"Buggax","INFINITY","Top",4,"0%","75%",18,12,4,1.8,"64.7%","52.9%","17.4%","0%",-507,-342,-7.3,8,"27.3%",619,"32.8%","35.4%",254,"26.8%",0,0.38,0.1,0.14
"Chovy","Hanwha Life Esports","Middle",7,"86%","71%",16,9,34,5.6,"43.9%","14.0%","14.1%","14%",428,397,24.9,10.2,"28.4%",632,"26.0%","24.1%",319,"24.6%",0,0.41,0.17,0.47
"cody","INFINITY","Middle",4,"0%","25%",4,19,15,1,"55.9%","11.8%","27.5%","25%",-197,-240,-11.5,6.4,"19.3%",414,"22.5%","18.3%",172,"19.6%",0,0.67,0.32,0.14
"Crazy","Galatasaray Esports","Top",9,"44%","56%",26,28,47,2.6,"58.9%","21.0%","16.7%","33%",325,131,11.7,7.4,"24.1%",522,"27.2%","26.2%",258,"23.4%",0,0.31,0.15,0.31
"Deft","Hanwha Life Esports","ADC",7,"86%","57%",38,11,36,6.7,"64.9%","33.3%","17.2%","29%",319,460,13.1,9.5,"29.2%",750,"30.8%","32.4%",329,"25.1%",0,0.51,0.19,0.34
"Doggo","Beyond Gaming","ADC",13,"38%","62%",77,26,65,5.5,"71.7%","38.9%","12.1%","31%",445,163,8.8,10,"35.8%",652,"34.6%","36.0%",340,"30.6%",0,0.46,0.16,0.42
"Evi","DetonatioN FocusMe","Top",5,"80%","40%",19,11,31,4.5,"61.0%","23.2%","28.9%","40%",-98,-39,-11.8,7,"22.0%",331,"19.5%","18.7%",246,"20.6%",0,0.34,0.18,0.25
"Fudge","Cloud9","Top",8,"75%","63%",31,15,62,6.2,"61.2%","20.4%","16.9%","13%",193,140,1.5,7.9,"22.4%",475,"21.9%","22.6%",288,"22.1%",0,0.41,0.12,0.15
"Gaeng","DetonatioN FocusMe","Support",5,"80%","40%",4,12,54,4.8,"70.7%","4.9%","31.6%","40%",67,79,0.8,1,"2.1%",114,"7.0%","6.5%",112,"9.2%",0,1.6,0.53,0.27
"Grevthar","RED Canids","Middle",7,"29%","71%",16,23,32,2.1,"58.5%","19.5%","16.9%","29%",-435,-399,-12.1,7.2,"21.3%",354,"18.9%","16.4%",215,"20.7%",0,0.49,0.21,0.17
"Guigo","RED Canids","Top",9,"33%","33%",22,36,33,1.5,"53.4%","21.4%","22.8%","11%",-306,-205,-10.3,7.2,"23.2%",468,"25.6%","25.4%",239,"22.5%",0,0.49,0.23,0.19
"Husha","Beyond Gaming","Jungle",13,"38%","38%",43,43,82,2.9,"63.1%","21.7%","20.0%","15%",-79,-94,-3.3,5.4,"15.4%",364,"18.8%","19.9%",209,"18.7%",4,0.41,0.31,0.31
"icon","LNG Esports","Middle",4,"100%","50%",9,5,26,7,"50.7%","13.0%","27.8%","0%",353,306,14,9,"22.2%",625,"26.0%","23.6%",267,"20.1%",0,0.33,0.1,0.15
"Iwandy","LNG Esports","Support",4,"100%","25%",3,2,36,19.5,"56.5%","4.3%","11.1%","25%",-14,79,5,1.3,"2.7%",119,"4.9%","4.2%",116,"8.7%",0,1.68,0.5,0.48
"Jojo","RED Canids","Support",9,"33%","56%",6,35,61,1.9,"65.0%","5.8%","22.2%","44%",-297,-313,-2,1.2,"3.6%",129,"7.3%","7.1%",98,"9.4%",0,1.38,0.5,0.38
"Kino","Beyond Gaming","Support",13,"38%","31%",11,51,111,2.4,"61.6%","5.6%","23.7%","31%",103,-116,-2.2,1.1,"2.8%",132,"6.7%","6.1%",104,"9.1%",0,1.64,0.44,0.33
"Liang","Beyond Gaming","Middle",2,"0%","50%",2,7,4,0.9,"40.0%","13.3%","15.9%","0%",-558,-242,-42.5,5.3,"16.6%",277,"16.6%","16.0%",160,"16.1%",0,0.41,0.17,0.2
"Liang","Beyond Gaming","Top",10,"50%","50%",32,30,56,2.9,"50.6%","18.4%","19.5%","20%",-141,-212,-3,7.3,"24.3%",432,"20.7%","19.3%",247,"21.3%",0,0.46,0.19,0.17
"Light","LNG Esports","ADC",4,"100%","50%",16,2,20,18,"52.2%","23.2%","11.1%","25%",-259,-303,-11.3,9.8,"29.9%",579,"23.4%","25.6%",323,"23.7%",0,0.41,0.11,0.42
"MDB","Unicorns of Love.CIS","ADC",5,"20%","60%",7,17,33,2.4,"72.7%","12.7%","18.7%","0%",-1050,-734,-46.6,5.1,"19.7%",402,"24.5%","26.0%",188,"19.7%",0,0.55,0.18,0.23
"Mojito","Galatasaray Esports","Jungle",9,"44%","33%",31,42,46,1.8,"62.1%","25.0%","25.0%","22%",-55,72,4.6,5.7,"16.9%",359,"18.2%","19.8%",209,"18.8%",2,0.39,0.3,0.33
"Morgan","Hanwha Life Esports","Top",7,"86%","29%",19,15,37,3.7,"49.1%","16.7%","23.4%","14%",312,363,8.1,8.7,"25.2%",478,"19.7%","17.6%",290,"22.2%",0,0.4,0.26,0.23
"Nomanz","Unicorns of Love.CIS","Middle",5,"20%","80%",14,18,24,2.1,"69.1%","25.5%","19.8%","0%",-49,200,-1.2,8.4,"29.0%",536,"30.8%","31.6%",244,"24.7%",0,0.35,0.16,0.3
"Perkz","Cloud9","Middle",8,"75%","38%",36,15,49,5.7,"55.9%","23.7%","16.9%","25%",99,-223,-2.4,9.1,"27.4%",505,"24.1%","23.2%",309,"23.4%",0,0.38,0.13,0.17
"PK","Beyond Gaming","Middle",1,"0%","0%",1,2,3,2,"80.0%","20.0%","18.2%","0%",-290,-253,-19,7.3,"20.4%",323,"20.5%","23.7%",179,"20.8%",0,0.44,0.16,0.04
"PK","Beyond Gaming","Top",3,"0%","67%",3,18,9,0.7,"50.0%","12.5%","29.5%","0%",-699,-311,-12.3,6.5,"23.4%",386,"24.2%","24.0%",174,"18.8%",0,0.36,0.17,0.21
"SaNTaS","Unicorns of Love.CIS","Support",5,"20%","40%",3,18,28,1.7,"56.4%","5.5%","19.8%","0%",239,120,18,3.3,"10.7%",139,"7.8%","7.2%",116,"11.5%",0,1.01,0.31,0.3
"SolidSnake","INFINITY","Jungle",4,"0%","50%",5,17,18,1.4,"67.6%","14.7%","24.6%","25%",-334,-372,-6.3,5.5,"16.8%",263,"14.3%","16.1%",168,"18.6%",0,0.4,0.34,0.4
"Steal","DetonatioN FocusMe","Jungle",5,"80%","80%",21,7,32,7.6,"64.6%","25.6%","18.4%","20%",246,-119,-5.8,5.7,"17.5%",371,"21.4%","22.5%",226,"18.9%",1,0.53,0.38,0.47
"Tally","PEACE","Middle",12,"42%","33%",39,41,69,2.6,"63.9%","23.1%","21.1%","25%",-33,25,0.8,8.6,"26.7%",482,"24.1%","24.9%",274,"23.8%",0,0.47,0.16,0.16
"Tarzan","LNG Esports","Jungle",4,"100%","50%",15,6,26,6.8,"59.4%","21.7%","33.3%","50%",429,527,5.8,6.5,"19.0%",450,"18.5%","19.5%",240,"18.5%",0,0.4,0.25,0.52
"TitaN","RED Canids","ADC",9,"33%","67%",36,27,30,2.4,"64.1%","35.0%","17.1%","44%",-75,78,-3.8,8.7,"29.9%",521,"29.1%","31.2%",290,"26.9%",0,0.59,0.3,0.27
"Violet","PEACE","ADC",12,"42%","25%",47,36,59,2.9,"62.7%","27.8%","18.6%","42%",-220,-391,-5.3,8.8,"30.3%",451,"22.9%","25.3%",280,"25.1%",0,0.41,0.15,0.32
"Vizicsacsi","PEACE","Top",12,"42%","50%",32,39,44,1.9,"45.0%","18.9%","20.1%","8%",61,-39,5.8,7.9,"24.0%",453,"23.4%","21.1%",240,"21.7%",0,0.57,0.31,0.21
"Vsta","Hanwha Life Esports","Support",7,"86%","86%",6,15,65,4.7,"62.3%","5.3%","23.4%","29%",258,115,0.3,1.2,"2.6%",164,"6.7%","6.4%",115,"8.8%",0,1.38,0.53,0.37
"Vulcan","Cloud9","Support",8,"75%","25%",10,24,98,4.5,"71.1%","6.6%","27.0%","25%",18,194,-8.6,0.9,"1.8%",180,"8.4%","7.8%",123,"9.5%",0,1.62,0.48,0.3
"WhiteLotus","INFINITY","ADC",4,"0%","25%",7,11,13,1.8,"58.8%","20.6%","15.9%","25%",42,-157,0.8,9.4,"33.3%",386,"22.1%","23.4%",246,"26.7%",0,0.5,0.18,0.2
"Willer","Hanwha Life Esports","Jungle",7,"86%","43%",35,14,47,5.9,"71.9%","30.7%","21.9%","29%",50,93,3.9,6.1,"14.6%",419,"16.8%","19.6%",248,"19.2%",0,0.51,0.35,0.34
"Yutapon","DetonatioN FocusMe","ADC",5,"80%","40%",25,4,32,14.3,"69.5%","30.5%","10.5%","40%",538,9,4.6,9.9,"33.6%",460,"27.3%","28.2%",339,"28.6%",0,0.32,0.09,0.37
"Zergsting","Galatasaray Esports","Support",9,"44%","78%",7,43,70,1.8,"62.1%","5.6%","25.6%","33%",-259,-145,-3.1,1,"3.1%",150,"7.9%","6.1%",99,"8.9%",0,1.82,0.63,0.45
"Zven","Cloud9","ADC",8,"75%","63%",37,16,47,5.3,"55.3%","24.3%","18.0%","25%",365,519,19.3,9.7,"29.7%",531,"24.4%","25.4%",328,"25.2%",0,0.4,0.11,0.3
